"Aegis Technologies Group, Inc., The - PES"									
Labor Category	Site	10/28/2012 - 10/27/2013	10/28/2013 - 2/5/2015	2/6/2015 - 4/11/2016	4/12/2016 - 10/28/2017	10/29/2017 - 3/31/2018	4/1/2018 - 3/31/2019	4/1/2019 - 3/31/2020	
Senior Engineer/ Scientist II	Off	150.75	161.81	167.63	173.67	179.93	186.41		
Senior Engineer/ Scientist IV	On	179.22	192.36	199.28	206.46	213.89	221.59		
Senior Engineer/ Scientist IV	Off	217.28	233.2	241.6	250.3	259.31	268.64		
Senior Engineer/Scientist III	On	142.44	152.88	158.38	164.09	169.99	176.11		
Senior Engineer/Scientist III	Off	168.36	180.7	187.2	193.94	200.92	208.15		
Tech II	On	56.29	59.7	61.64	63.64	65.71	67.85		
									
"Gleason Research Associates, Inc. - PES"									
Labor Category	Site	1/25/2013 - 7/28/2013	7/29/2013 - 7/28/2014	7/29/2014 - 7/28/2015	7/29/2015 - 7/28/2016	7/29/2016 - 7/28/2017	7/29/2017 - 7/28/2018	7/29/2018 - 7/28/2019	
Analyst/Specialist - L10	On	48.87	50.38	51.94	53.55	55.21	56.92	58.68	
Analyst/Specialist - L3	On	116.94	120.57	124.31	128.16	132.13	136.23	140.45	
Analyst/Specialist - L5	On	100.31	103.42	106.63	109.94	113.35	116.86	120.48	
Analyst/Specialist - L7	On	79.84	82.32	84.87	87.5	90.21	93.01	95.89	
Analyst/Specialist - L8	On	69.99	72.16	74.4	76.71	79.09	81.54	84.07	
Engineer Scientist - L1	On	168.26	173.48	178.86	184.4	190.12	196.01	202.09	
Engineer Scientist - L2	On	134.65	138.82	143.12	147.56	152.13	156.85	161.71	
Engineer Scientist - L3	On	114.2	117.74	121.39	125.15	129.03	133.03	137.15	
Engineer Scientist - L4	On	103.31	106.51	109.81	113.21	116.72	120.34	124.07	
Engineer Scientist - L5	On	78.67	81.11	83.62	86.21	88.88	91.64	94.48	
Research Engineer Scientist - L1	On	219.72	226.53	233.55	240.79	248.25	255.95	263.88	
Subject Matter Expert  - L1	On	252.19	260.01	268.07	276.38	284.95	293.78	302.89	
Subject Matter Expert - L2	On	187.2	193	198.98	205.15	211.51	218.07	224.83	
Technical Assistant - L1	On	85.23	87.87	90.59	93.4	96.3	99.29	102.37	
Technical Assistant - L2	On	57.5	59.28	61.12	63.01	64.96	66.97	69.05	
									
"Integration Innovation, Inc. - PES"									
Labor Category	Site	2/3/2013 - 1/31/2014	2/1/2014 - 1/31/2015	2/1/2015 - 1/31/2016	2/1/2016 - 1/31/2017	2/1/2017 - 2/2/2018	2/3/2018 - 2/2/2019	2/3/2019 - 2/2/2020	
Administrative Specialist III	On	49.35	50.58	51.85	53.15	54.48	55.84	57.24	
Analyst I	On	57.04	58.47	59.93	61.43	62.97	64.54	66.15	
Analyst III	On	70.58	72.34	74.15	76	77.9	79.85	81.85	
Analyst III	Off	76.81	78.73	80.7	82.72	84.79	86.91	89.08	
Engineer III	On	86.14	88.29	90.5	92.76	95.08	97.46	99.9	
Engineer IX	On	143.54	147.13	150.81	154.58	158.44	162.4	166.46	
Engineer VI	On	125.33	128.46	131.67	134.96	138.33	141.79	145.33	
Subject Matter Expert II	On	165.92	170.07	174.32	178.68	183.15	187.73	192.42	
Task Order/Project Lead I	On	89.86	92.11	94.41	96.77	99.19	101.67	104.21	
Task Order/Project Lead IV	On	147.58	151.27	155.05	158.93	162.9	166.97	171.14	
									
"Integration Innovation, Inc. - PSS"									
Labor Category	Site	2/3/2013 - 1/31/2014	2/1/2014 - 1/31/2015	2/1/2015 - 7/21/2016	7/22/2016 - 7/21/2017	7/22/2017 - 7/21/2018	7/22/2018 - 7/21/2019	7/22/2019 - 7/21/2020	
Administrative Specialist III	On	49.35	50.58	51.85	53.15	54.47	55.84	57.23	
Analyst I	On	57.04	58.47	59.93	61.43	62.96	64.54	66.15	
Analyst III	On	70.58	72.34	74.15	76	77.9	79.85	81.85	
Analyst III	Off	76.81	78.73	80.7	82.72	84.79	86.91	89.08	
Engineer III	On	86.14	88.29	90.5	92.76	95.08	97.46	99.9	
Engineer IX	On	143.54	147.13	150.81	154.58	158.44	162.4	166.46	
Engineer VI	On	125.33	128.46	131.67	134.96	138.33	141.79	145.33	
Subject Matter Expert II	On	165.92	170.07	174.32	178.68	183.15	187.73	192.42	
Task Order/Project Lead I	On	89.86	92.11	94.41	96.77	99.19	101.67	104.21	
