"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Administrative Support 2	On	41.55	42.18	42.81	43.45	44.1	44.76
Administrative Support 2	Off	42.41	43.05	43.69	44.34	45.01	45.68
Administrative Support 3	On	50.79	51.56	52.33	53.12	53.91	54.72
Administrative Support 3	Off	51.84	52.62	53.41	54.21	55.02	55.85
Engineer 2	On	69.01	70.04	71.09	72.16	73.24	74.34
Engineer 2	Off	70.43	71.49	72.56	73.65	74.75	75.87
Engineer 3	On	86.41	87.71	89.03	90.37	91.72	93.1
Engineer 3	Off	88.19	89.52	90.86	92.23	93.61	95.02
Engineer 4	On	100.36	101.86	103.39	104.94	106.51	108.11
Engineer 4	Off	104.58	106.15	107.74	109.36		112.66
Engineer 5	On	121.61	123.43	125.29	127.17	129.08	131.02
Engineer 5	Off	124.12	125.98	127.87	129.79	131.74	133.72
Program Analyst 1	On	64.5	65.46	66.45	67.44	68.46	69.48
Program Analyst 1	Off	64.83	65.8	66.79	67.79	68.81	69.83
Program Analyst 3	On	84.3	85.56	86.84	88.14	89.46	90.8
Program Analyst 3	Off	86.04	87.33	88.63	89.96	91.31	92.67
Program Analyst 4	On	87.36	88.67		91.34	92.71	94.1
Program Analyst 4	Off	89.16	90.5	91.85	93.23	94.62	96.04
Program Analyst 5	On	93.69	95.1	96.52	97.97	99.44	100.94
Program Analyst 5	Off	95.62	97.06	98.51	99.99	101.49	103.02
Program Analyst 6	On	98.98	100.46	101.97	103.5	105.05	106.63
Program Analyst 6	Off	103.15	104.69	106.27	107.86	109.47	111.12
Program Analyst 7	On	105.57	107.16	108.77	110.4	112.05	113.73
Program Analyst 7	Off	107.75	109.37	111.01	112.67	114.36	116.08
Program Analyst 8	On	115.92	117.65	119.42	121.21	123.03	124.87
Program Analyst 8	Off	118.31	120.08	121.88	123.71	125.56	127.44
Program Analyst 9	On	130.27	132.22	134.2	136.22	138.26	140.34
Program Analyst 9	Off	132.96	134.95	136.97	139.03	141.11	143.23
Senior Engineer 1	On	134.46	136.48	138.53	140.6	142.71	144.85
Senior Engineer 1	Off	137.23	139.29	141.38	143.5	145.65	147.84
Senior Engineer 2	On	151.65	153.93	156.24	158.59	160.96	163.38
Senior Engineer 2	Off	154.78	157.1	159.46	161.86	164.28	166.75
